#id	AI名称	稀有度	等级	类型	职类	策略1	策略2	策略3	策略4	策略5	策略6	策略7	策略8	策略9	策略10
10	传教AI LV1	1	1	0	60	95,7,6300	203,48,6709	97,46,6800	98,47,6800	96,7,6300	106,7,6100	202,48,6709	201,48,6709	0,2,26711	
11	传教AI LV2	1	2	0	60	95,7,6301	203,48,6709	97,46,6801	98,47,6801	96,7,6301	106,7,6101	202,48,6709	201,48,6709	0,2,26712	
12	传教AI LV3	1	3	0	60	95,7,6302	203,48,6709	97,46,6802	98,47,6802	96,7,6302	106,7,6102	202,48,6709	201,48,6709	0,2,26713	
13	传教AI LV4	1	4	0	60	95,7,6303	203,48,6709	97,46,6803	98,47,6803	96,7,6303	106,7,6103	202,48,6709	201,48,6709	0,2,26714	
14	传教AI LV5	1	5	0	60	95,7,6304	203,48,6709	97,46,6804	98,47,6804	96,7,6304	106,7,6104	202,48,6709	201,48,6709	0,2,26715	
15	传教AI LV6	1	6	0	60	95,7,6305	203,48,6709	97,46,6805	98,47,6805	96,7,6305	106,7,6105	202,48,6709	201,48,6709	0,2,26716	
16	传教AI LV7	1	7	0	60	95,7,6306	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6709	0,2,26717	
17	传教AI LV8	1	8	0	60	95,7,6307	203,48,6709	97,46,6807	98,47,6807	96,7,6307	106,7,6107	202,48,6709	201,48,6709	0,2,26718	
18	传教AI LV9	1	9	0	60	95,7,6308	203,48,6709	97,46,6808	98,47,6808	96,7,6308	106,7,6108	202,48,6709	201,48,6709	0,2,26719	
19	传教AI LV10	1	10	0	60	95,7,6310	203,48,6709	97,46,6809	98,47,6809	96,7,6310	106,7,6109	202,48,6709	201,48,6709	0,2,26720	
20	战斧AI LV1	1	1	0	20	8,0,1200	0,2,300								
21	战斧AI LV2	1	2	0	20	8,0,1200	103,2,301	0,2,200501							
22	战斧AI LV3	1	3	0	20	8,0,1200	103,2,302	0,2,200502							
23	战斧AI LV4	1	4	0	20	8,0,1200	103,2,303	0,2,200503							
24	战斧AI LV5	1	5	0	20	8,0,1200	103,2,304	0,2,200504							
25	战斧AI LV6	1	6	0	20	8,0,1200	103,2,305	0,2,200505							
26	战斧AI LV7	1	7	0	20	8,0,1200	103,2,306	0,2,200506							
27	战斧AI LV8	1	8	0	20	8,0,1200	103,2,307	0,2,200507							
28	战斧AI LV9	1	9	0	20	8,0,1200	103,2,308	0,2,200508							
29	战斧AI LV10	1	10	0	20	8,0,1200	103,2,309	0,2,200509							
30	剑士AI LV1	1	1	0	10	8,0,1200	0,2,300								
31	剑士AI LV2	1	2	0	10	8,0,1200	103,2,301	0,2,200501							
32	剑士AI LV3	1	3	0	10	8,0,1200	103,2,302	0,2,200502							
33	剑士AI LV4	1	4	0	10	8,0,1200	103,2,303	0,2,200503							
34	剑士AI LV5	1	5	0	10	8,0,1200	103,2,304	0,2,200504							
35	剑士AI LV6	1	6	0	10	8,0,1200	103,2,305	0,2,200505							
36	剑士AI LV7	1	7	0	10	8,0,1200	103,2,306	0,2,200506							
37	剑士AI LV8	1	8	0	10	8,0,1200	103,2,307	0,2,200507							
